category,text_to_synthesize,evolution_depth,language,gt_audio_path
Questions,"You went to the party, even though I explicitly told you not to?",0,en,gt_audios/0.wav
Questions,"So, just so I'm absolutely certain I understand this, you did in fact go to the party, despite me explicitly telling you not to, correct? And you genuinely, hand-on-heart, believed that was appropriate behavior, did you? What part of 'no' was unclear to you then? This isn't just about defiance, it's about a fundamental lack of respect. Do you even realize the implications of what you've done?",3,en,gt_audios/3.wav
Questions,There is another aircraft still in the air???,0,en,gt_audios/4.wav
Questions,"Just a moment, you're not genuinely suggesting there's another aircraft unaccounted for, are you? And we're still completely in the dark about its purpose? Seriously, what on earth are the standing orders now? And perhaps more critically, what's our immediate fallback if those directives prove insufficient?",3,en,gt_audios/7.wav
Questions,"Now, seriously, you're saying I am the one to blame?",0,en,gt_audios/8.wav
Questions,"Okay, fine. So, let's imagine for a second I even consider that. After all that's happened, you're still trying to tell me I'm the one solely to blame? And if that's the case, what exactly do you propose I should have done differently then? And do you honestly, truly, expect me to just accept that without any further discussion? So, what's the actual plan then, if that's your final word?",3,en,gt_audios/11.wav
Questions,But she clearly doesn't want to?,0,en,gt_audios/12.wav
Questions,"I mean, seriously now, are we truly just going to stand here and pretend we don't see that she clearly, unequivocally doesn't want to? And if, as seems blindingly obvious, she genuinely feels that way, what conceivable justification is there for even contemplating proceeding? Are we completely missing something fundamental here? Or is the collective silence meant to imply something else entirely?",3,en,gt_audios/15.wav
Questions,To Hungary and back?,0,en,gt_audios/16.wav
Questions,"Really, to Hungary and back, just like that? Wow. That genuinely sounds like quite an adventure, almost a whirlwind. So, I'm curious, did you actually manage to pick up any usable Hungarian, you know, beyond the absolute basics? Or was it a case of everyone there just speaking perfect English, making it almost too easy? And if it was mostly English, did you ever feel like you missed out on a deeper connection because of it?",3,en,gt_audios/19.wav
Questions,You're a copper?,0,en,gt_audios/20.wav
Questions,"Hang on a second, are you genuinely trying to convince me you're a police officer, right now? And if, by some bizarre chance, that's the case, what on earth could possibly drag you, of all people, to my perfectly ordinary cul-de-sac at this hour, I'm dying to know? Or, and I'm just spitballing here, have you perhaps got the wrong street entirely? Because this whole situation is feeling rather peculiar, wouldn't you agree?",3,en,gt_audios/23.wav
Questions,"What is Data Informed Diplomacy, with all its various manifestations?",0,en,gt_audios/24.wav
Questions,"Look, I understand the general idea, perhaps, but specifically, what on earth is Data Informed Diplomacy, with all these touted 'various manifestations'? And how, in any truly meaningful way, does it actually distinguish itself from long-standing diplomatic methods? Moreover, are we genuinely, hand-on-heart, convinced it consistently achieves demonstrably better outcomes, or is there a significant element of wishful thinking involved here? And who exactly is verifying these 'better outcomes,' and by what unbiased metrics are they even being measured, if at all?",3,en,gt_audios/27.wav
Questions,"What's really happening, and is there more than meets the eye?",0,en,gt_audios/28.wav
Questions,"Look, I'm really starting to feel uneasy, like what precisely is unfolding here, and truly, could there be something much deeper going on that we're oblivious to? Because if so, shouldn't our collective concern be, well, escalating rather sharply? Or am I perhaps reading too much into all of this? And if I'm not overthinking it, then shouldn't we be demanding some answers, like, right now?",3,en,gt_audios/31.wav
Questions,How on earth is this Financial Report organized?,0,en,gt_audios/32.wav
Questions,"Pardon my persistence, but I am truly finding it challenging to understand, how precisely is this Financial Report structured? Is there some guiding principle to its organization that I'm just not perceiving, despite looking carefully? Or, and I hesitate to ask this, could it be that its complexity is an intentional feature for some specific purpose? And if the latter is true, what would be the reasoning behind such a design choice?",3,en,gt_audios/35.wav
Questions,Where has Jason Abhisheki moved all the flowers to?,0,en,gt_audios/36.wav
Questions,"Wait, seriously, where on earth has Jason Abhisheki moved all the flowers to? And why wasn't I told about this? And is anyone going to do anything about it? Honestly, this whole situation is beyond frustrating. Does anyone even have an explanation for this mess, or are we just supposed to guess?",3,en,gt_audios/39.wav
Questions,"What do we do in this situation, and what are the implications for Jordan's water supply?",0,en,gt_audios/40.wav
Questions,"Frankly, and I truly need a clear answer on this, what exactly are we even planning to do about this rapidly escalating crisis, and what, in truly concrete terms, will be the direct consequences for Jordan's already critically strained water supply? Moreover, and this is where my concern deepens, is there genuinely a viable backup plan if – or, let's be realistic, when – our current strategies prove insufficient? Or are we, almost unbelievably, just hoping for the best without any concrete contingencies whatsoever? And if that is indeed the unsettling reality, how precisely do we intend to manage public expectation and prevent widespread panic when the inevitable occurs?",3,en,gt_audios/43.wav
Questions,"But the Brexit question remains: After all the trials and tribulations, will the ministers find the answers in time?",0,en,gt_audios/44.wav
Questions,"Honestly, the Brexit question still looms large, doesn't it—almost unbelievably so: after all these protracted trials and frankly exhausting tribulations, can we, in all seriousness, expect the ministers to conjure up the right answers in time? Or is this just another, shall we say, predictable exercise in kicking the can further down the road, hoping against hope for a miracle? And if that's the case, what's the actual endgame here, if any? The official statements offer little clarity, frankly, and provide no concrete timelines. So, amidst all this ambiguity, are citizens supposed to simply wait indefinitely for a resolution that may never materialize?",3,en,gt_audios/47.wav
Questions,"Sorry, can you restate your name and address please?",0,en,gt_audios/48.wav
Questions,"My sincerest apologies, truly, and I do appreciate your patience, but I seem to still be finding it exceptionally difficult to catch everything you're saying clearly; would you mind terribly restating your full name and complete address for me, if you please, perhaps speaking a little more slowly? And then, could you very patiently spell out the street name, letter by letter, to guarantee I capture it accurately this time, every single detail? And just to be absolutely, definitively certain, is there any specific apartment or unit number I should include? After all that, would you also be able to provide a contact number, just in case there are any issues with locating the address later on?",3,en,gt_audios/51.wav
Questions,"Here's the full story for today, would you like to learn more?",0,en,gt_audios/52.wav
Questions,"Okay, so, just to be perfectly clear, here's the full story for today, but are you absolutely sure you'd like to learn more? I mean, it genuinely, and I'm not exaggerating, contains some rather unexpected twists towards the end. Seriously now, are you fully prepared for what might be quite a few, shall we say, significant surprises? Because if you're not quite in the mood for that, and that's entirely understandable, we could always pick something else, couldn't we? Wouldn't a different narrative perhaps be more relaxing for today?",3,en,gt_audios/55.wav
Questions,"Mr. Chairman, your highly anticipated interview with Channel 4 has turned into a catastrophe, hasn't it?",0,en,gt_audios/56.wav
